year,month,day,event,isHoliday
1401,1,1,جشن نوروز,0
1401,1,1,روز جهانی شعر,0
1401,1,2,عیدنوروز,0
1401,1,2,روز جهانی آب,0
1401,1,3,عیدنوروز,0
1401,1,3,درگذشت فریدریش آوگوست فون هایک  قتصاددان و فیلسوف سیاسی,0
1401,1,4,عیدنوروز,0
1401,1,4,درگذشت اسماعیل ادیب خوانساری موسیقیدان ایرانی,0
1401,1,4,زادروز پیتر دبای دانشمند هلندی,0
1401,1,6,روز امید,0
1401,1,6,زادروز آشو زرتشت,0
1401,1,6,زادروز لری پیج کارآفرین و مبتکر آمریکایی,0
1401,1,6,درگذشت لودویگ فان بتهوون موسیقی‌دان برجستهٔ آلمانی,0
1401,1,7,روز جهانی تئاتر,0
1401,1,8,درگذشت ویرجینیا وولف,0
1401,1,10,جشن آبانگاه,0
1401,1,10,درگذشت فریدریش برژیوس شیمیدان آلمانی,0
1401,1,11,برج ایفل در پاریس بطور رسمی گشایش یافت.,0
1401,1,12,روز جمهوری اسلامی,0
1401,1,13,جشن سیزده به در,0
1401,1,13,درگذشت علی‌اکبر صنعتی نقاش و مجسمه‌ساز ایرانی,0
1401,1,13,روز جهانی کتاب کودک,0
1401,1,13,روز جهانی اطلاع‌رسانی دربارهٔ بیماری اوتیسم,0
1401,1,14,زادروز ابوالحسن صبا موسیقیدان,0
1401,1,14,درگذشت یوهانس برامس موسیقی‌دان بزرگ آلمانی,0
1401,1,15,درگذشت پروین اعتصامی,0
1401,1,15,گشایش رسمی مرکز تجارت جهانی,0
1401,1,15,درگذشت ویلهلم اوستوالد شیمیدان آلمانی,0
1401,1,17,سروش روز,0
1401,1,17,درگذشت توماسو آلبینونی آهنگساز ایتالیایی,0
1401,1,17,زاد روز هورست لودویگ اشتورمر فیزیکدان آلمانی,0
1401,1,17,زاد روز جیمز واتسون ,0
1401,1,18,روز جهانی بهداشت,0
1401,1,19,فروردین روز,0
1401,1,19,درگذشت پابلو پیکاسو  نقاش,0
1401,1,19,درگذشت اریک آکسل کارلفلدت شاعر نمادگرای سوئدی,0
1401,1,20,درگذشت فرانسوا رابله ادیب,0
1401,1,21,درگذشت جبران خلیل جبران نویسنده سرشناس لبنان و آمریکا,0
1401,1,21,زادروز جوزف پولیتزر روزنامه‌نگار معروف آمریکایی و بنیانگذار جایزه ادبی پولیتزر,0
1401,1,22,زادروز آدلاید لابلی گویارد نقاش فرانسوی,0
1401,1,23,روز دندانپزشک,0
1401,1,23,زادروز یان تینبرگن اقتصاددان,0
1401,1,23,درگذشت ایگور یوگنیویچ تام فیزیکدان و ریاضی‌دان روسی,0
1401,1,24,درگذشت جان ویلر فیزیکدان آمریکایی,0
1401,1,25,روز بزرگداشت عطار نیشابوری,0
1401,1,25,کشتی مسافربر تایتانیک با ۲۲۰۰ مسافر و خدمه در حوالی کانادا غرق شد.,0
1401,1,25,درگذشت جرج فردریک هندل آهنگساز آلمانی,0
1401,1,26,زاد روز لئوناردو داوینچی دانشمند,0
1401,1,26,درگذشت میخاییل لومونسف نویسنده و دانشمند روسی,0
1401,1,27,ولادت امام حسن مجتبی علیه السلام,0
1401,1,27,زادروز چارلی چاپلین کمدین مشهور,0
1401,1,27,درگذشت یاسوناری کاواباتا نویسنده ژاپنی,0
1401,1,28,درگذشت بنجامین فرانکلین ,0
1401,1,28,درگذشت هنریک کارل پیتر دام زیست‌شناس و شیمیدان برندهٔ جایزه نوبل پزشکی ۱۹۴۳ از دانمارک,0
1401,1,29,روز ارتش جمهوری اسلامی ایران,0
1401,1,29,روز جهانی میراث فرهنگی,0
1401,1,30,شب قدر,0
1401,1,30,روز علوم آزمایشگاهی,0
1401,1,30,درگذشت پی‌یر کوری فیزیکدان فرانسوی,0
1401,1,30,زادروز گلن سیبورگ دانشمند آمریکایی,0
1401,1,31,ضربت خوردن حضرت علی علیه السلام,0
1401,2,1,روز بزرگداشت سعدی,0
1401,2,1,درگذشت سهراب سپهری شاعر و نقاش ایرانی,0
1401,2,2,جشن گیاه آوری؛ روز زمین,0
1401,2,2,شهادت حضرت علی علیه السلام,0
1401,2,2,زادروز قیصر امین‌پور نویسنده,0
1401,2,2,زادروز یاور همدانی,0
1401,2,3,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی,0
1401,2,3,شب قدر,0
1401,2,3,روز جهانی کتاب و حق نشر,0
1401,2,4,آغاز به کار نخستین فرستنده عمومی رادیویی در ایران به نام «رادیو تهران»,0
1401,2,4,زادروز کارل اشپیتلر شاعر سوئیسی آلمانی,0
1401,2,4,درگذشت ماکس فون لائو فیزیک‌دان آلمانی,0
1401,2,5,زادروز گولیلمو مارکونی مهندس برق ایتالیایی,0
1401,2,5,زادروز جلیل ضیاءپور,0
1401,2,6,درگذشت بیورنستیرن بیورنسون نویسندهٔ نروژی,0
1401,2,6,درگذشت کارل بوش شیمی‌دان و مهندس آلمانی,0
1401,2,7,درگذشت رالف والدو امرسون فیلسوف و نویسندهٔ آمریکایی,0
1401,2,8,زادروز سیمین دانشور نویسنده و مترجم ایرانی,0
1401,2,9,روزشوراها,0
1401,2,9,روز جهانی روانشناس و مشاور,0
1401,2,9,درگذشت ذبیح‌الله صفا,0
1401,2,10,جشن چهلم نوروز؛ روز ملی خلیج فارس,0
1401,2,10,زادروز کارل فریدریش گاوس ریاضیدان مشهور آلمانی,0
1401,2,11,روزجهانی  کارگر,0
1401,2,11,انتشار نخستین روزنامه در ایران به نام «کاغذ اخبار» توسط «میرزا صالح شیرازی»,0
1401,2,12,شهادت استاد مرتضی مطهری,0
1401,2,12,عید سعید فطر,0
1401,2,12,درگذشت محمدرضا لطفی,0
1401,2,12,درگذشت لئوناردو داوینچی,0
1401,2,13,تعطیل به مناسبت عید سعید فطر,0
1401,2,13,زادروز جرج پاجت تامسون فیزیک‌دان انگلیسی,0
1401,2,13,زادروز آلفرد کاستلر فیزیکدان فرانسوی,0
1401,2,14,زادروزخواجه عبدالله انصاری,0
1401,2,15,جشن میانه بهار,0
1401,2,15,روز جهانی ماما,0
1401,2,15,زادروز غلامحسین بنان,0
1401,2,16,درگذشت حسین منزوی شاعر نامدار ایرانی,0
1401,2,17,روز اسناد ملی و میراث مکتوب,0
1401,2,17,رابیندرانات تاگور شاعر,0
1401,2,17,درگذشت ویلارد بویل فیزیکدان کانادایی,0
1401,2,18,روز جهانی صلیب سرخ و هلال احمر,0
1401,2,19,درگذشت آلبرت آبراهام مایکلسون فیزیک‌دان آمریکایی,0
1401,2,20,درگذشت توماس یانگ فیزیک‌دان برجستهٔ انگلیسی,0
1401,2,20,نلسون ماندلا,0
